link,latitude,longitude
https://goo.gl/maps/17uceyNhpZwEVbY1A,12.8834993,74.8312785
https://goo.gl/maps/jhmd5dQw1mMzbTnU8,13.5249539,74.7023304
https://goo.gl/maps/5x4j7w29Yn5erihaA,12.8455673,75.0677552
https://goo.gl/maps/xSH7gqxd1ywLjpiB7,13.0055665,76.0952357
https://goo.gl/maps/gdYFPPV7in9mVuVq9,12.5495682,77.4219632
https://goo.gl/maps/e8USmUJ2ZoYGBrqGA,12.5448709,77.4197671
https://goo.gl/maps/ZSBuJKVWkFXTjFp48,12.4309823,76.6994065
https://goo.gl/maps/5YtWg6YcWJpMwRUc6,12.7004535,77.2497144
https://goo.gl/maps/XkC4Ktg6mK2PouAU7,12.3076799,76.6456863
https://goo.gl/maps/YHQvkovacbfiM8Lw8,13.000146,77.5505453
https://goo.gl/maps/VGXn94FDpbJ7jvh6A,12.9399264,77.5645695
https://goo.gl/maps/boZgDF7EWCiF7jZc7,12.9432995,77.5688597
https://goo.gl/maps/VVeU416Yzv5sxjPC8,12.9435005,77.5658045
https://goo.gl/maps/FZS1KHF2X4oNWeiH6,12.9240784,77.5641614
https://goo.gl/maps/NH1dg3CQy6DiTKZX9,12.908365,77.5865371
https://goo.gl/maps/jP638xbjdGBY55EUA,12.9433978,77.5915532
https://goo.gl/maps/tKhbVWrmJ1eGmfXS8,12.9228262,77.5910696
https://goo.gl/maps/n6zmWZre9cHaMB9a9,12.9917243,77.5347029
https://goo.gl/maps/gNrD64hvrJk3SiPZ9,12.9539208,77.5688741
https://goo.gl/maps/qR9ALXXmRBrGSbYe6,12.9289218,77.5842999
https://goo.gl/maps/eyJ7E26hKvmKhqji6,12.9275689,77.5632396
https://goo.gl/maps/NGmJNXkvog8wrHLK8,12.9724035,77.6778258
https://goo.gl/maps/5wakkv3RBMgKXDb29,12.8741943,74.8508662
https://goo.gl/maps/91b8ZzrMvW49tas6A,12.318999,76.6466383
https://goo.gl/maps/tt3Dr2eupH6TA62C7,12.9314906,77.5833303
https://goo.gl/maps/mNoqcdBzvVnGBDFq7,12.4553564,76.6869259
https://goo.gl/maps/KxPhFb6dNtVfLuY2A,12.9088184,77.5795232
https://goo.gl/maps/5pKTUKC9jzFMJMvXA,15.8407996,74.5004807
https://goo.gl/maps/vBTfTL7XUz2DKDeU9,14.4587873,75.8849208
https://goo.gl/maps/8Skp8Xf1SKs8VkXb7,15.4613434,75.0053987
https://goo.gl/maps/7BfdSDb4pKBCkNAg7,13.314664,77.1441724
https://goo.gl/maps/MKzap7EGTdFFAUsx5,12.9367499,77.5374511
https://goo.gl/maps/4cMCR8exC9pSfFeP9,15.342926,75.1409265
https://goo.gl/maps/Xp2RrF6B5FCmoM389,15.3500777,75.1359061
https://goo.gl/maps/cNTiaB6Qkbkfv7wR7,15.3500777,75.1359061
https://goo.gl/maps/XZwEiCeuvy69ysv49,12.9593313,77.5652381
https://goo.gl/maps/zivXMjHrDUWRSKQ6A,15.3440137,75.1417811
https://goo.gl/maps/FRZedi1Dkt6SgysV6,14.4536261,75.9131024
https://goo.gl/maps/487kQ4axU4dwPCXG6,14.462831,75.916476
https://goo.gl/maps/iNVVs7cVHmuxZ6pYA,12.9086288,77.581092
https://goo.gl/maps/pSEJ62FTS4BYnHTs6,12.9550227,77.5640723
https://goo.gl/maps/FcS3epVuPyRpSysX6,13.0058893,77.5642939
https://goo.gl/maps/3ytRp2cd2Tpr6hfL9,12.9731731,77.5725124
https://goo.gl/maps/qW1VdNwbUY5WEanD8,12.9178205,77.5181799
https://goo.gl/maps/zXbRL43pEX9rhwRBA,13.0593759,77.5902761
https://goo.gl/maps/6LTiAAAZs9RiRcRd9,13.0018359,77.5651271
https://goo.gl/maps/ZR2JEN4VugXHL6gB9,12.9715466,77.5963101
https://goo.gl/maps/SduK1UJF8oNF9a2h7,12.9982587,77.5673017
https://goo.gl/maps/nFsBwv9yM6DoRwL69,12.9450772,77.5691543
https://goo.gl/maps/SNrNDwCBdLnTaXNSA,13.0721925,77.7806597
https://goo.gl/maps/9QdB5XMgQ45CYw8p8,13.0224072,77.6357149
https://goo.gl/maps/j9VPJPeqs7m6hVot8,13.0713665,77.6162005
https://goo.gl/maps/D38mHS1jxXUkogWV7,12.9272786,77.5829842
https://goo.gl/maps/5xp4LbMu7pGtFYyJ8,12.979271,77.6387835
https://goo.gl/maps/K8WGg6JiBgSeZ43K7,12.9399212,77.5645695
https://goo.gl/maps/uf662DYcJkU6rkqV8,12.9340851,77.6135045
https://goo.gl/maps/yTntaCuwB9quZJEN9,12.9686771,77.6393728
https://goo.gl/maps/jVtHjefeVnfdMg4x6,12.9317382,77.620666
https://goo.gl/maps/546tf138essAZYnT7,12.9550952,77.583349
https://goo.gl/maps/6wcSxjvVGyMepD3x8,12.9361964,77.6132252
https://goo.gl/maps/Qtsqeh5WZetLySWFA,12.9337379,77.6190216
https://goo.gl/maps/FE1myFwkzEFkUAJm7,12.945072,77.5691543
https://goo.gl/maps/V7zLk2TzZvyUYAeM7,12.9080772,77.6326269
https://goo.gl/maps/qfc2xZJzUxVXHabB7,12.9345942,77.6140473
https://goo.gl/maps/JLGgTcL8MC5Pfs7L9,12.9987239,77.5678163
